Direction,Strike,Price
-1,100,14.0217653613
1,80,22.5598783176
1,80,23.3231207113
1,90,16.9897346636
-1,100,12.0465128866
-1,110,10.2784455941
-1,100,10.6773930504
1,120,2.60878346266
1,80,18.6197062929
1,100,6.92949055556
1,110,5.90889634456
-1,90,17.6266831054
1,120,5.66316847951
1,120,1.33792900401
-1,120,1.70210827635
1,80,20.8908747467
-1,80,23.6837689775
1,100,8.3948727118
-1,80,24.2054850277
-1,120,5.96480011666
1,120,2.8611723826
1,100,8.87885776164
-1,90,12.1809255911
-1,120,5.39431946399
1,90,16.0051668572
1,120,7.14309406537
-1,120,7.04793037851
-1,100,12.6555446815
-1,80,28.4431524655
-1,90,23.8831832196
-1,80,27.5375507308
1,100,18.2907651591
1,120,14.6620383876
1,110,20.2383135172
-1,100,29.3460713039
1,90,29.8169010801
1,100,27.6251442325
1,110,26.9906475099
-1,120,27.1139535454
-1,100,41.9181848542
1,80,39.6356124861
-1,90,35.028614212
-1,90,35.149175238
-1,110,23.4167883818
-1,100,25.1255571484
1,120,14.4557912489
-1,120,18.0231498244
1,90,27.5551290088
-1,80,35.8090395966
-1,120,19.0885004816
-1,120,17.4211978342
1,90,24.377702329
1,110,15.5627937187
-1,110,20.9411054628
1,80,33.2563574699
-1,110,19.8239388727
-1,110,20.0615376063
1,110,19.2260363033
1,90,30.7163462593
-1,120,22.7489478812
-1,120,21.2363409387
1,90,25.9852576411
1,100,20.074776094
1,100,23.6316088783
1,90,25.2610844755
-1,100,28.0709156624
1,80,31.5172990129
-1,120,14.6135041857
-1,120,13.1389089116
1,110,13.1664570578
1,90,22.2576741143
-1,120,12.9376844157
1,100,17.2392077422
1,110,13.6875368503
-1,100,15.0562947693
1,120,8.62005729324
-1,120,10.4336897832
1,100,14.8044019892
-1,90,22.0055882897
1,90,20.2707125012
1,90,18.6808881847
1,80,24.8875105708
1,100,14.500929769
-1,120,7.18942420215
1,100,12.802381646
-1,120,5.73879887525
1,120,10.589126855
1,90,21.3254994959
-1,120,12.5171877119
-1,80,33.9387127642
1,110,14.0890871784
1,120,10.3940432796
-1,80,29.9389678637
1,110,11.7162019858
-1,100,18.4245838991
-1,80,28.5611932811
-1,90,22.8444377393
-1,100,20.1087321462
1,100,16.2855800953
-1,120,14.4772778855
